id,dut,categories,test,description,inputs,result,messages
15,Edge10,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
16,Edge10,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
17,Edge10,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',PASS,
18,Edge10,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',FAIL,"ValueError: ""AntaCommand"" object has no field ""failed"""
19,Edge10,Hardware,VerifyTemperature,Verifies the device temperature.,,FAIL,Device temperature exceeds acceptable limits. Current system status: 'unknownTemperatureAlarmLevel'
20,Edge10,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",PASS,
21,Edge10,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Dps1 - DPS Interface = 'up',PASS,
22,Edge10,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - mpls_r1 = 'up',PASS,
23,Edge10,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet5 - internet = 'up',PASS,
24,Edge10,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
25,Edge10,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
26,Edge10,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
27,Edge10,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.1 VRF: default,PASS,
28,Edge10,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.2 VRF: default,PASS,
29,Edge10,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.3 VRF: default,PASS,
30,Edge10,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.4 VRF: default,PASS,
31,Edge10,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 11.11.10.2 Source Port: 4500,PASS,
32,Edge10,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 172.16.10.2 Source Port: 4500,PASS,
33,Edge10,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
34,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
35,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
36,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
37,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
38,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
39,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
40,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
41,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
42,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
43,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
44,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
45,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
46,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
47,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
48,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
49,Edge12,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
50,Edge12,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',PASS,
51,Edge12,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',FAIL,"ValueError: ""AntaCommand"" object has no field ""failed"""
52,Edge12,Hardware,VerifyTemperature,Verifies the device temperature.,,FAIL,Device temperature exceeds acceptable limits. Current system status: 'unknownTemperatureAlarmLevel'
53,Edge12,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",PASS,
54,Edge12,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Dps1 - DPS Interface = 'up',PASS,
55,Edge12,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - mpls_r1 = 'up',PASS,
56,Edge12,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - internet = 'up',PASS,
57,Edge12,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
58,Edge12,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
59,Edge12,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
60,Edge12,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.1 VRF: default,PASS,
61,Edge12,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.2 VRF: default,PASS,
62,Edge12,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.3 VRF: default,PASS,
63,Edge12,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.4 VRF: default,PASS,
64,Edge12,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 11.11.12.2 Source Port: 4500,PASS,
65,Edge12,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 172.16.12.2 Source Port: 4500,PASS,
66,Edge12,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
67,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
68,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
69,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
70,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
71,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
72,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
73,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
74,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
75,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
76,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
77,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
78,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
79,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
80,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
81,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
82,Edge13,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
83,Edge13,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',PASS,
84,Edge13,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',FAIL,"ValueError: ""AntaCommand"" object has no field ""failed"""
85,Edge13,Hardware,VerifyTemperature,Verifies the device temperature.,,FAIL,Device temperature exceeds acceptable limits. Current system status: 'unknownTemperatureAlarmLevel'
86,Edge13,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",PASS,
87,Edge13,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Dps1 - DPS Interface = 'up',PASS,
88,Edge13,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - mpls_r1 = 'up',PASS,
89,Edge13,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - internet = 'up',PASS,
90,Edge13,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
91,Edge13,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
92,Edge13,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
93,Edge13,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.1 VRF: default,PASS,
94,Edge13,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.2 VRF: default,PASS,
95,Edge13,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.3 VRF: default,PASS,
96,Edge13,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.4 VRF: default,PASS,
97,Edge13,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 11.11.13.2 Source Port: 4500,PASS,
98,Edge13,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 172.16.13.2 Source Port: 4500,PASS,
99,Edge13,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
100,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
101,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
102,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
103,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
104,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
105,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
106,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
107,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
108,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
109,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
110,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
111,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
112,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
113,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
114,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
115,Edge14,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
116,Edge14,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',PASS,
117,Edge14,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',FAIL,"ValueError: ""AntaCommand"" object has no field ""failed"""
118,Edge14,Hardware,VerifyTemperature,Verifies the device temperature.,,FAIL,Device temperature exceeds acceptable limits. Current system status: 'unknownTemperatureAlarmLevel'
119,Edge14,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",PASS,
120,Edge14,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Dps1 - DPS Interface = 'up',PASS,
121,Edge14,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - mpls_r1 = 'up',PASS,
122,Edge14,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - internet = 'up',PASS,
123,Edge14,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
124,Edge14,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
125,Edge14,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
126,Edge14,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.1 VRF: default,PASS,
127,Edge14,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.2 VRF: default,PASS,
128,Edge14,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.3 VRF: default,PASS,
129,Edge14,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.4 VRF: default,PASS,
130,Edge14,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 11.11.14.2 Source Port: 4500,PASS,
131,Edge14,STUN,VerifyStunClient,Verifies the STUN client is configured with the specified IPv4 source address and port. Validate the public IP and port if provided.,Source IPv4 Address: 172.16.14.2 Source Port: 4500,PASS,
132,Edge14,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
133,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
134,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
135,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
136,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
137,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
138,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
139,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
140,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
141,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
142,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder2 (IP: 10.99.102.2),PASS,
143,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
144,Pathfinder1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
145,Pathfinder1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',PASS,
146,Pathfinder1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',FAIL,"ValueError: ""AntaCommand"" object has no field ""failed"""
147,Pathfinder1,Hardware,VerifyTemperature,Verifies the device temperature.,,FAIL,Device temperature exceeds acceptable limits. Current system status: 'unknownTemperatureAlarmLevel'
148,Pathfinder1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",PASS,
149,Pathfinder1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Dps1 - DPS Interface = 'up',PASS,
150,Pathfinder1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - mpls_r1 = 'up',PASS,
151,Pathfinder1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - internet = 'up',PASS,
152,Pathfinder1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
153,Pathfinder1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
154,Pathfinder1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
155,Pathfinder1,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.2 VRF: default,PASS,
156,Pathfinder1,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.3 VRF: default,PASS,
157,Pathfinder1,Security,VerifySpecificIPSecConn,Verifies IPv4 security connections for a peer.,IPv4 Peer: 10.99.102.4 VRF: default,PASS,
158,Pathfinder1,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
159,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
160,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
161,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
162,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
163,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
164,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 SR-TE Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
165,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
166,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
167,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Link-State Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
168,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder1 (IP: 10.99.102.1),PASS,
169,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder3 (IP: 10.99.102.3),PASS,
170,Pathfinder2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP Path-Selection Peer: Pathfinder4 (IP: 10.99.102.4),PASS,
171,Pathfinder2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',PASS,
172,Pathfinder2,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',FAIL,"ValueError: ""AntaCommand"" object has no field ""failed"""
173,Pathfinder2,Hardware,VerifyTemperature,Verifies the device temperature.,,FAIL,Device temperature exceeds acceptable limits. Current system status: 'unknownTemperatureAlarmLevel'
174,Pathfinder2,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",PASS,
175,Pathfinder2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Dps1 - DPS Interface = 'up',PASS,
176,Pathfinder2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - mpls_r1 = 'up',PASS,
177,Pathfinder2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - internet = 'up',PASS,
178,Pathfinder2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
179,Pathfinder2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vxlan1 = 'up',PASS,
